id,device,timestamp,HIGH_ACTIVITY_INTERVALS,LOW_ACTIVITY_INTERVALS,TOTAL_INTERVALS
4b179a3b-8386-4b57-9968-baf0b3d739de-27,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336647792,3,2,15
4b179a3b-8386-4b57-9968-baf0b3d739de-30,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336647912,1,0,15
4b179a3b-8386-4b57-9968-baf0b3d739de-32,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336648032,13,0,15
4b179a3b-8386-4b57-9968-baf0b3d739de-36,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336648152,14,0,15
4b179a3b-8386-4b57-9968-baf0b3d739de-39,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336648272,12,2,15
4b179a3b-8386-4b57-9968-baf0b3d739de-43,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336648392,14,0,15
4b179a3b-8386-4b57-9968-baf0b3d739de-46,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336648512,14,0,15
4b179a3b-8386-4b57-9968-baf0b3d739de-50,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336648632,0,0,15
4b179a3b-8386-4b57-9968-baf0b3d739de-53,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336648765,0,0,2
4b179a3b-8386-4b57-9968-baf0b3d739de-56,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336648872,0,0,15
6d950c45-4fe3-4201-a670-a6ba9706c3c2-2,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336650552,9,3,15
6d950c45-4fe3-4201-a670-a6ba9706c3c2-5,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336650678,7,1,9
6d950c45-4fe3-4201-a670-a6ba9706c3c2-10,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336650792,9,0,15
6d950c45-4fe3-4201-a670-a6ba9706c3c2-12,ea436d39-fc6c-49ec-8d72-39b964b770b2,1336650912,2,2,15
